module,slot,locator,source,correction,disposition,confidence
m49386,4,/document[1]/content[1]/figure[1]/caption[1]/text(),bordering tha Masai Mara,bordering the Masai Mara,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49386,6,/document[1]/content[1]/para[2]/text(),most most prominent,most prominent,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49387,44,/document[1]/content[1]/section[1]/para[5]/text(),we can plots points,we can plot points,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49387,72,/document[1]/content[1]/section[1]/para[8]/link[2]/text(),"document=""m49387"">The Other Trigonometric Functions","document=""m49384"">The Other Trigonometric Functions",correct the collection xref upstream; helper xref bytes remain unchanged,high
m49387,418,/document[1]/content[1]/section[4]/note[2]/exercise[1]/solution[1]/media[1]/@alt,compared to it's parent function,compared to its parent function,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49387,453,/document[1]/content[1]/section[4]/example[2]/exercise[1]/solution[1]/list[1]/item[5]/figure[1]/media[1]/@alt,3sin(*(pi/4)x-pi/4),3sin((pi/4)x-pi/4),correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49387,530,/document[1]/content[1]/section[5]/example[2]/exercise[1]/solution[1]/figure[1]/media[1]/@alt,-3cox(x)+4,-3cos(x)+4,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49387,548,/document[1]/content[1]/section[5]/note[2]/exercise[1]/solution[1]/media[1]/@alt,"range [-1,-7]","range [-7,-1]",correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49387,671,/document[1]/content[1]/section[8]/section[2]/exercise[8]/solution[1]/media[1]/@alt,Grpah has amplitude,Graph has amplitude,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49395,131,/document[1]/content[1]/section[3]/para[2]/text(),involves taking quotient,involves taking the quotient,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49395,230,/document[1]/content[1]/section[4]/note[1]/table[1]/@summary,"Three rows, two columns/","Three rows, two columns.",correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49395,305,/document[1]/content[1]/section[6]/table[1]/@summary,..,"Seven rows and two columns. The table lists the sum and difference formulas for cosine, sine, and tangent, followed by the cofunction identities.",replace the placeholder summary upstream and during owner integration; frozen source bytes remain unchanged,high
m49395,383,/document[1]/content[1]/section[8]/section[3]/exercise[11]/solution[1]/para[1]/text(),"They are the different, try ",They are different; try ,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49395,389,/document[1]/content[1]/section[8]/section[3]/exercise[15]/solution[1]/para[1]/text(),"They are the different, try ",They are different; try ,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,47,/document[1]/content[1]/section[1]/table[2]/@summary,Th table,The table,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,61,/document[1]/content[1]/section[1]/table[3]/@summary,Th table,The table,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,279,/document[1]/content[1]/section[3]/title[1]/emphasis[3]/tail(),rendered heading: y = cscx,rendered heading: y = csc x,add typographic spacing upstream; frozen source bytes remain unchanged,high
m49389,441,/document[1]/content[1]/section[4]/example[1]/exercise[1]/solution[1]/list[1]/item[5]/emphasis[1]/tail(),draw the cosecant function,draw the secant function,correct the mathematical function name upstream; Indonesian target renders the intended secant instruction,high
m49389,448,/document[1]/content[1]/section[4]/example[1]/exercise[1]/solution[1]/list[1]/item[6]/figure[1]/media[1]/@alt,prarbola,parabola,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,453,/document[1]/content[1]/section[4]/note[4]/exercise[1]/solution[1]/media[1]/@alt,prarbola,parabola,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,542,/document[1]/content[1]/section[4]/note[10]/exercise[1]/solution[1]/media[1]/@alt,prarbola,parabola,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,587,/document[1]/content[1]/section[4]/note[12]/exercise[1]/solution[1]/media[1]/@alt,consine,cosine,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,587,/document[1]/content[1]/section[4]/note[12]/exercise[1]/solution[1]/media[1]/@alt,Grpah,Graph,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49389,786,/document[1]/content[1]/section[9]/list[1]/item[6]/math[1]/tail(),and the function is decreasing at each point in its range,and the function is decreasing on each continuity interval in its domain,correct the mathematical domain/continuity description upstream; helper target preserves the reported source claim,high
m49390,16,/document[1]/content[1]/section[1]/figure[1]/media[1]/@alt,Trig Functinos,Trig Functions,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,high
m49390,509,/document[1]/content[1]/section[6]/section[1]/exercise[7]/solution[1]/para[1]/math[12]/tail(),- ,,remove the unexplained trailing hyphen upstream; helper target preserves the source punctuation,high
