proposal_id,source_term,preferred_id,variants,rejected,modules,register,confidence,status,evidence,rationale,owner_contract_match
HP-A30-003-TERM-001,periodic function,fungsi periodik,,,m49386;m49387;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; m49399 slots 10-11,Standard Indonesian function terminology.,
HP-A30-003-TERM-002,sine function,fungsi sinus,,,m49386;m49387;m49395;m49398;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; m49398 recurring equation prose,Standard Indonesian trigonometry; use sinus rather than English sine in prose.,
HP-A30-003-TERM-003,cosine function,fungsi kosinus,,,m49386;m49387;m49389;m49390;m49395;m49398;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; qa/agent_b/terminology_proposals.csv,Standard Indonesian spelling uses kosinus.,
HP-A30-003-TERM-004,tangent function,fungsi tangen,,,m49389;m49390;m49396;m49398,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,Names the trigonometric function and avoids the geometric-line sense garis singgung.,
HP-A30-003-TERM-005,cotangent function,fungsi kotangen,,,m49389;m49396,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,"Conventional ko- spelling, parallel with kosinus and kosekan.",
HP-A30-003-TERM-006,secant function,fungsi sekan,,,m49389;m49390;m49398,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,Names the trigonometric function and avoids the geometric-line sense garis potong.,
HP-A30-003-TERM-007,cosecant function,fungsi kosekan,,,m49389;m49398,formal,high,proposal_only_owner_decides,qa/agent_b/terminology_proposals.csv,Conventional Indonesian spelling paired with sekan.,
HP-A30-003-TERM-008,sinusoidal function,fungsi sinusoidal,,,m49387;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; m49399 slots 5 and 479-483,Distinguishes the broader sinusoidal class from the sine function itself.,
HP-A30-003-TERM-009,period,periode,,,m49387;m49389;m49390;m49398;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; qa/agent_b/terminology_proposals.csv,Established function and oscillation terminology.,
HP-A30-003-TERM-010,amplitude,amplitudo,,,m49387;m49389;m49390;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; m49399 recurring harmonic-motion prose,Established wave and function terminology.,
HP-A30-003-TERM-011,midline,garis tengah,garis tengah grafik,,m49387;m49399,pedagogical formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; m49399 graphing prose,Names the horizontal center line of a sinusoidal graph.,
HP-A30-003-TERM-012,phase shift,pergeseran fase,,,m49387;m49389;m49390;m49399,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; qa/agent_b/terminology_proposals.csv,Established transformation terminology.,
HP-A30-003-TERM-013,vertical shift,pergeseran vertikal,,,m49387;m49399,formal,high,already_accepted_in_owner_contract,qa/agent_a/terminology_proposals.json,Matches the existing transformation contract.,PC2E-TERM-0086
HP-A30-003-TERM-014,horizontal shift,pergeseran horizontal,,,m49387;m49399,formal,high,already_accepted_in_owner_contract,qa/agent_a/terminology_proposals.json,Matches the existing transformation contract.,PC2E-TERM-0087
HP-A30-003-TERM-015,exact value,nilai eksak,,,m49390;m49395;m49396;m49398,formal,high,proposal_only_owner_decides,qa/agent_a/terminology_proposals.json; qa/agent_b/terminology_proposals.csv; qa/agent_c/terminology_proposals.json,Distinguishes a symbolic exact value from an approximation.,
HP-A30-003-TERM-016,exact solution,solusi eksak,,,m49398,formal,high,proposal_only_owner_decides,"m49398 slots 29, 39, 96, 368, 374, and 380",Concise equation-solving counterpart to nilai eksak.,
