issue_id,module_id,slot,locator,category,severity,status,source,high_confidence_correction,disposition,evidence
HP-A30-003-ISSUE-001,m49386,4,/document[1]/content[1]/figure[1]/caption[1]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,bordering tha Masai Mara,bordering the Masai Mara,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-002,m49386,6,/document[1]/content[1]/para[2]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,most most prominent,most prominent,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-003,m49387,44,/document[1]/content[1]/section[1]/para[5]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,we can plots points,we can plot points,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-004,m49387,72,/document[1]/content[1]/section[1]/para[8]/link[2]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,"document=""m49387"">The Other Trigonometric Functions","document=""m49384"">The Other Trigonometric Functions",correct the collection xref upstream; helper xref bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-005,m49387,418,/document[1]/content[1]/section[4]/note[2]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,compared to it's parent function,compared to its parent function,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-006,m49387,453,/document[1]/content[1]/section[4]/example[2]/exercise[1]/solution[1]/list[1]/item[5]/figure[1]/media[1]/@alt,source_accessibility_math_or_data,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,3sin(*(pi/4)x-pi/4),3sin((pi/4)x-pi/4),correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-007,m49387,530,/document[1]/content[1]/section[5]/example[2]/exercise[1]/solution[1]/figure[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,-3cox(x)+4,-3cos(x)+4,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-008,m49387,548,/document[1]/content[1]/section[5]/note[2]/exercise[1]/solution[1]/media[1]/@alt,source_accessibility_math_or_data,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,"range [-1,-7]","range [-7,-1]",correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-009,m49387,671,/document[1]/content[1]/section[8]/section[2]/exercise[8]/solution[1]/media[1]/@alt,source_accessibility_text,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,Grpah has amplitude,Graph has amplitude,correct upstream accessibility text; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
HP-A30-003-ISSUE-010,m49395,131,/document[1]/content[1]/section[3]/para[2]/text(),source_prose_typo_or_grammar,source_high_confidence_nonblocking,intended_meaning_translated_source_issue_open,involves taking quotient,involves taking the quotient,correct upstream prose; translate the intended meaning; frozen source bytes remain unchanged,correction_observations.json
