term_id,concept_id,source_term,preferred_id,variants,rejected,scope,register,status,evidence,notes
PC2E-TERM-0001,concept-precalculus,Precalculus,Prakalkulus,pre-kalkulus,,work title,formal,provisional,OpenStax work title,Use title capitalization Prakalkulus; confirm against Indonesian higher-education usage.
PC2E-TERM-0002,concept-function,function,fungsi,,,all mathematics,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0003,concept-linear-function,linear function,fungsi linear,,,chapter and section titles,formal,accepted,standard Indonesian mathematics usage and m49321 chapter introduction,
PC2E-TERM-0004,concept-polynomial-function,polynomial function,fungsi polinomial,fungsi suku banyak,,reader prose,formal,accepted,2024 Indonesian Ministry Matematika Tingkat Lanjut textbook polynomial chapter and m49346,Use fungsi polinomial formally; fungsi suku banyak may be explanatory but is not needed in this edition.
PC2E-TERM-0005,concept-rational-function,rational function,fungsi rasional,,,reader prose,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0006,concept-exponential-function,exponential function,fungsi eksponensial,,,reader prose,formal,superseded,standard Indonesian mathematics usage,Superseded by the field-evidence-bound PC2E-TERM-0198 record for the same concept.
PC2E-TERM-0007,concept-logarithmic-function,logarithmic function,fungsi logaritma,fungsi logaritmik,,reader prose,formal,accepted,official Kemdikbudristek 2024 advanced-mathematics textbook and Universitas Jember 2019 calculus textbook,Prefer fungsi logaritma; retain logaritmik for operations or derivatives such as diferensial logaritmik rather than the function name.
PC2E-TERM-0008,concept-trigonometric-function,trigonometric function,fungsi trigonometri,,,reader prose,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0009,concept-equation,equation,persamaan,,,all mathematics,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0010,concept-inequality,inequality,pertidaksamaan,,,all mathematics,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0011,concept-analytic-geometry,analytic geometry,geometri analitik,,,chapter title,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0012,concept-sequence,sequence,barisan,,,all mathematics,formal,accepted_initial,standard Indonesian mathematics usage,Distinguish series=deret.
PC2E-TERM-0013,concept-probability,probability,peluang,probabilitas,,all mathematics,formal,accepted_initial,cross-corpus Indonesian convention,Use peluang for mathematical probability; retain probabilitas only in proper terminology where justified.
PC2E-TERM-0014,concept-counting-theory,counting theory,teori pencacahan,teori penghitungan,,chapter title,formal,provisional,Indonesian combinatorics usage,
PC2E-TERM-0015,concept-calculus,calculus,kalkulus,,,all mathematics,formal,accepted_initial,standard Indonesian mathematics usage,
PC2E-TERM-0016,concept-relation,relation,relasi,,,functions and relations,formal,accepted,first substantive use in m49301,Distinguish relation from function.
PC2E-TERM-0017,concept-ordered-pair,ordered pair,pasangan terurut,,,all mathematics,formal,accepted,first substantive use in m49301,
PC2E-TERM-0018,concept-domain,domain,domain,daerah asal,,functions and relations,formal,accepted,Indonesian mathematical usage plus Kemdikbudristek 2024 and Universitas Jember 2019 field witnesses,Use domain consistently in the corpus; daerah asal is an accepted explanatory and formal Indonesian variant.
PC2E-TERM-0019,concept-range,range,range (daerah hasil),daerah hasil|daerah nilai|range,rentang|jangkauan,functions and relations,formal,accepted,m49301 plus Kemdikbudristek 2024 daerah hasil Universitas Jember 2019 daerah nilai and Universitas Indonesia domain-kodomain-range usage,Introduce both forms once; range remains the corpus default while daerah hasil or daerah nilai may appear pedagogically without being treated as an inconsistency.
PC2E-TERM-0020,concept-input,input,masukan,input,,functions and computation,formal,accepted,first substantive use in m49301,
PC2E-TERM-0021,concept-output,output,keluaran,output,,functions and computation,formal,accepted,first substantive use in m49301,
PC2E-TERM-0022,concept-independent-variable,independent variable,variabel bebas,,,functions and statistics,formal,accepted,standard Indonesian mathematical usage,
PC2E-TERM-0023,concept-dependent-variable,dependent variable,variabel terikat,,,functions and statistics,formal,accepted,standard Indonesian mathematical usage,
PC2E-TERM-0024,concept-function-notation,function notation,notasi fungsi,,,functions,formal,accepted,first substantive use in m49301,
PC2E-TERM-0025,concept-one-to-one-function,one-to-one function,fungsi satu-ke-satu,fungsi injektif,,functions,formal,accepted,m49301 learning objective and m49320 definition/glossary,Use explanatory form in introductory prose; introduce injektif when the source does.
PC2E-TERM-0026,concept-vertical-line-test,vertical line test,uji garis vertikal,,,functions and graphs,formal,accepted,standard Indonesian mathematical usage,
PC2E-TERM-0027,concept-horizontal-line-test,horizontal line test,uji garis horizontal,,,functions and graphs,formal,accepted,standard Indonesian mathematical usage,
PC2E-TERM-0028,concept-evaluate-function,evaluate a function,mengevaluasi fungsi,menghitung nilai fungsi,,functions,formal,accepted,m49301 definition,Use menghitung nilai fungsi when it reads more naturally in explanatory prose.
PC2E-TERM-0029,concept-solve-for-input,solve for the input,menyelesaikan terhadap masukan,mencari nilai masukan,,functions and equations,formal,accepted,m49301 definition,Do not translate solve as mengevaluasi.
